Disease/Illness,Generic,Brand,Form,Age (years),Age (months),Weight (kg),Dose,Number of Doses,Booster,Schedule (months),Alternate (months),Accelerated (months),"Rapid (day, month)",Duration of efficacy (years),Duration of action (hours),Contraindications,Pregnancy,Lactation
Meningococcal meningitis,"multicomponent meningococcal B vaccine (recombinant, adsorbed)",Bexsero,Injectable,,2—5,,0.5 mL,4,,"0, 1+, 2+, 8+","0, 2+, 7+",,,Unknown,,"hypersensitivity to vaccine after previous administration, or to any ingredient in the formulation; acute febrile illness",,
Meningococcal meningitis,"multicomponent meningococcal B vaccine (recombinant, adsorbed)",Bexsero,Injectable,,6—11,,0.5 mL,3,,"0, 2+, 4+",,,,Unknown,,"hypersensitivity to vaccine after previous administration, or to any ingredient in the formulation; acute febrile illness",,
Meningococcal meningitis,"multicomponent meningococcal B vaccine (recombinant, adsorbed)",Bexsero,Injectable,,12—23,,0.5 mL,3,,"0, 2+, 14-25",,,,Unknown,,"hypersensitivity to vaccine after previous administration, or to any ingredient in the formulation; acute febrile illness",,
Meningococcal meningitis,"(groups A, C, Y, and W-135)","Menveo
",Injectable,≥2,,,0.5 mL,1,,0,,,,3,,"hypersensitivity to vaccine after previous administration, or to any ingredient in the formulation; acute febrile illness",,
Meningococcal meningitis,"(groups A, C, Y, and W-135)","Menveo
",Injectable,,2—6,,0.5 mL,3,,"0, 2+, 12-16",,,,3,,,,
Meningococcal meningitis,"(groups A, C, Y, and W-135)","Menveo
",Injectable,,7—23,,0.5 mL,2,,"0, 2+",,,,3,,,,
E.coli + Cholera,inactivated cholera and LT-producing ETEC diarrhea,Dukoral,Oral,≥6,,,,2,One booster dose is sufficient if last dose was received 2-5 years before,"0, 8d+, 1st dose at least 2 weeks before departure, 2nd dose at least 1 week before departure ",,,,"2 (Cholera), 0.25 (E.coli)",,"hypersensitivity to vaccine after previous administration, or to any ingredient in the formulation; acute febrile illness",Unknown,Safe
E.coli + Cholera,inactivated cholera and LT-producing ETEC diarrhea,Dukoral,Oral,2—6,,,,3,One booster dose is sufficient if last dose was received 6 months-5 years before,"0, 8d+, 15d+, 1st dose at least 3 weeks before departure, 3rd dose at least 1 week before departure",,,,"2 (Cholera), 0.25 (E.coli)",,"hypersensitivity to vaccine after previous administration, or to any ingredient in the formulation; acute febrile illness",Unknown,Safe
Japanese encephalitis,"Japanese encephalitis vaccine (inactivated, adsorbed)",Ixiaro,Injectable,≥18,,,0.5 mL,2,,,,,"0, 7d, 12-24m",10,,"hypersensitivity to vaccine after previous administration, or to any ingredient in the formulation; acute febrile illness",Should be avoided,Should be avoided
Japanese encephalitis,"Japanese encephalitis vaccine (inactivated, adsorbed)",Ixiaro,Injectable,3—18,,,0.5 mL,2,Booster dose should be given within 12-24 months after primary immunization,"0, 28d",,,,2,,,,
Japanese encephalitis,"Japanese encephalitis vaccine (inactivated, adsorbed)",Ixiaro,Injectable,<18,≥2,,0.25 mL,2,Booster dose should be given within 12-24 months after primary immunization,"0, 28d",,,,2,,,,
Yellow fever,Yellow fever vaccine,YF-VAX,Injectable,,≥9,,0.5 mL,1,,30 days apart from other live vaccines,,,,10,,"hypersensitivity to egg, egg products, chicken protein, gelatin; Latex allergy",Only if risk is unavoidable,
Tick borne encephalitis,,FSME-immune,,>1,,,0.5 mL,3,,"0, 1-3, 6-15",,,,,,,,
Malaria,Atovaquone-Proguanil,Malarone,Oral tablet,,,≥40,1 tablet,,,"Daily, 1-2 days before travel until 7 days after departure",,,,,,"hypersensitivity to vaccine after previous administration, or to any ingredient in the formulation; severe renal impairment (creatinine clearance <30mL/min); children weighing less than 11kg",No,Not recommended for infants <5kg
,Atovaquone-Proguanil,Malarone Pediatric,Oral tablet,,,≥11-20,1 pediatric tablet,,,"Daily, 1-2 days before travel until 7 days after departure",,,,,,"hypersensitivity to vaccine after previous administration, or to any ingredient in the formulation; severe renal impairment (creatinine clearance <30mL/min); children weighing less than 11kg",No,Not recommended for infants <5kg
,Atovaquone-Proguanil,Malarone Pediatric,Oral tablet,,,≥21-30,2 pediatric tablets,,,"Daily, 1-2 days before travel until 7 days after departure",,,,,,"hypersensitivity to vaccine after previous administration, or to any ingredient in the formulation; severe renal impairment (creatinine clearance <30mL/min); children weighing less than 11kg",No,Not recommended for infants <5kg
,Atovaquone-Proguanil,Malarone Pediatric,Oral tablet,,,≥31-40,3 pediatric tablets,,,"Daily, 1-2 days before travel until 7 days after departure",,,,,,"hypersensitivity to vaccine after previous administration, or to any ingredient in the formulation; severe renal impairment (creatinine clearance <30mL/min); children weighing less than 11kg",No,Not recommended for infants <5kg
,Mefloquine,Lariam,,,,,,,,,,,,,,,,
,Hydroxychloroquine sulfate,Plaquenil,,,,,,,,,,,,,,,,
,Chloroquine phosphate,Aralen,,,,,,,,,,,,,,,,
Altitude sickness,Acetazolamide,Diamox,Oral tablet,,,,,,,,,,,,,"Depressed sodium and/or potassium blood levels, in renal failure, adrenal gland failure, metabolic acidosis, and some cases of hepatic cirrhosis, severe glaucoma due to peripheral anterior synechias or in hemorrhagic glaucoma. Long term use in chronic non-congestive angle closure glaucoma is contra- indicated. ","Should not be used in pregnancy, unless the anticipated benefits outweigh these potential hazards and are not attainable in other ways ",Unknown
